,ID,HHID,SEX,AGE,REGULAR,EDU,WAGE,MARRIAGE,STATUS,FULLTIME,YEAR,SPWK,SPWT,CHILDREN
271,49002,490,1,42,1.0,6.0,77.0,1.0,20,54.0,1,0,0.0,0
272,49601,496,0,76,1.0,0.0,30.0,1.0,10,98.0,1,0,0.0,0
273,49701,497,0,34,1.0,12.0,117.0,1.0,10,46.0,1,0,0.0,1
274,49801,498,0,54,1.0,12.0,100.0,1.0,10,78.0,1,0,0.0,0
276,50301,503,0,74,1.0,9.0,50.0,1.0,10,48.0,1,0,0.0,0
277,50401,504,0,39,1.0,16.0,120.0,1.0,10,80.0,1,1,50.0,1
278,50402,504,1,36,1.0,12.0,80.0,1.0,20,50.0,1,1,80.0,1
279,51001,510,0,48,1.0,12.0,96.0,1.0,10,73.0,1,0,0.0,0
280,51101,511,0,36,1.0,12.0,90.0,1.0,10,72.0,1,0,0.0,2
281,51301,513,0,30,1.0,16.0,240.0,1.0,10,30.0,1,0,0.0,0
282,51401,514,0,60,0.0,6.0,45.0,1.0,10,54.0,1,0,0.0,0
283,51801,518,0,54,1.0,12.0,130.0,1.0,10,50.0,1,0,0.0,0
285,52201,522,0,43,1.0,12.0,130.0,1.0,10,57.0,1,1,,1
287,52901,529,0,33,1.0,16.0,210.0,1.0,10,51.0,1,0,0.0,2
288,53002,530,0,43,1.0,12.0,270.0,1.0,10,38.0,1,0,0.0,1
289,53101,531,0,35,1.0,14.0,150.0,1.0,10,50.0,1,0,0.0,2
290,53301,533,0,43,1.0,16.0,150.0,1.0,10,51.0,1,1,55.0,1
291,53302,533,1,40,1.0,12.0,100.0,1.0,20,55.0,1,1,51.0,1
292,53402,534,0,44,1.0,12.0,233.0,1.0,10,88.0,1,1,45.0,0
293,53403,534,1,41,1.0,12.0,83.0,1.0,20,45.0,1,1,88.0,0
294,53601,536,0,38,1.0,16.0,150.0,1.0,10,60.0,1,0,0.0,2
295,53701,537,0,30,1.0,16.0,150.0,1.0,10,50.0,1,0,0.0,0
296,53801,538,0,40,1.0,16.0,160.0,1.0,10,45.0,1,0,0.0,1
297,53901,539,0,43,1.0,12.0,170.0,1.0,10,96.0,1,0,0.0,0
298,54001,540,0,33,1.0,16.0,105.0,1.0,10,69.0,1,0,0.0,1
299,54101,541,0,38,1.0,12.0,100.0,1.0,10,48.0,1,0,0.0,1
300,54201,542,0,32,1.0,16.0,230.0,1.0,10,54.0,1,0,0.0,2
301,54301,543,0,32,1.0,21.0,280.0,1.0,10,54.0,1,0,0.0,1
302,54601,546,0,58,1.0,12.0,180.0,1.0,10,65.0,1,0,0.0,0
306,55202,552,1,34,0.0,12.0,40.0,1.0,20,54.0,1,1,,2
307,55501,555,0,44,0.0,6.0,100.0,1.0,10,82.0,1,0,0.0,0
309,55701,557,0,53,1.0,12.0,163.0,1.0,10,65.0,1,0,0.0,0
310,55802,558,1,51,1.0,12.0,120.0,1.0,20,48.0,1,0,0.0,0
311,55901,559,0,44,1.0,16.0,150.0,1.0,10,45.0,1,0,0.0,1
314,56402,564,1,41,1.0,12.0,100.0,1.0,20,44.0,1,0,0.0,0
315,56501,565,1,39,1.0,12.0,80.0,0.0,10,84.0,1,0,0.0,0
316,56601,566,0,33,1.0,12.0,200.0,1.0,10,71.0,1,0,0.0,2
318,56801,568,1,23,1.0,16.0,75.0,0.0,10,48.0,1,0,0.0,0
319,57001,570,0,28,1.0,12.0,110.0,0.0,10,70.0,1,0,0.0,0
320,57201,572,0,58,0.0,12.0,200.0,1.0,10,72.0,1,0,0.0,0
321,57301,573,0,31,1.0,16.0,150.0,1.0,10,59.0,1,0,0.0,0
322,57501,575,1,27,1.0,14.0,100.0,0.0,10,74.0,1,0,0.0,0
323,57801,578,0,32,1.0,12.0,150.0,1.0,10,60.0,1,0,0.0,1
324,58301,583,0,37,1.0,12.0,120.0,1.0,10,60.0,1,1,49.0,1
325,58302,583,1,30,1.0,12.0,60.0,1.0,20,49.0,1,1,60.0,1
328,58501,585,0,29,1.0,18.0,50.0,0.0,10,14.0,1,0,0.0,0
329,58601,586,0,47,1.0,9.0,180.0,0.0,10,51.0,1,0,0.0,0
330,58701,587,0,31,1.0,12.0,160.0,0.0,10,92.0,1,0,0.0,0
331,58901,589,0,68,0.0,6.0,50.0,1.0,10,84.0,1,0,0.0,0
332,59301,593,0,51,0.0,12.0,85.0,0.0,10,78.0,1,0,0.0,1
333,60502,605,1,45,1.0,12.0,80.0,1.0,20,40.0,1,0,0.0,0
334,60601,606,0,34,1.0,16.0,280.0,1.0,10,54.0,1,1,44.0,1
335,60602,606,1,32,1.0,16.0,150.0,1.0,20,44.0,1,1,54.0,1
336,60701,607,0,51,1.0,16.0,200.0,1.0,10,50.0,1,0,0.0,0
337,61301,613,0,41,0.0,12.0,200.0,1.0,10,64.0,1,0,0.0,2
338,61401,614,0,31,1.0,16.0,105.0,1.0,10,55.0,1,0,0.0,1
339,61501,615,0,39,1.0,12.0,153.0,1.0,10,78.0,1,1,,0
341,61601,616,0,38,1.0,12.0,130.0,1.0,10,56.0,1,0,0.0,0
344,62201,622,0,29,1.0,16.0,70.0,0.0,10,53.0,1,0,0.0,0
345,62401,624,0,43,1.0,9.0,160.0,1.0,10,70.0,1,0,0.0,0
346,62701,627,0,30,1.0,16.0,200.0,0.0,10,50.0,1,0,0.0,0
347,62801,628,0,31,1.0,16.0,170.0,1.0,10,66.0,1,0,0.0,1
348,63001,630,0,37,1.0,14.0,150.0,1.0,10,58.0,1,0,0.0,1
349,63101,631,0,42,1.0,12.0,320.0,1.0,10,44.0,1,1,46.0,0
350,63102,631,1,40,1.0,9.0,55.0,1.0,20,46.0,1,1,44.0,0
353,63502,635,1,41,0.0,9.0,20.0,1.0,20,44.0,1,0,0.0,0
354,63601,636,0,60,1.0,12.0,50.0,1.0,10,84.0,1,0,0.0,0
356,64001,640,0,32,1.0,18.0,200.0,0.0,10,47.0,1,0,0.0,0
358,64501,645,0,45,0.0,12.0,120.0,1.0,10,70.0,1,1,40.0,0
359,64502,645,1,41,0.0,6.0,64.0,1.0,20,40.0,1,1,70.0,0
361,64702,647,1,37,1.0,16.0,95.0,1.0,20,60.0,1,0,0.0,1
362,64802,648,1,48,1.0,6.0,70.0,1.0,20,72.0,1,0,0.0,0
364,65201,652,1,25,1.0,12.0,85.0,0.0,10,72.0,1,0,0.0,0
367,66101,661,1,60,1.0,6.0,48.0,0.0,10,51.0,1,0,0.0,0
368,66201,662,0,49,1.0,16.0,290.0,1.0,20,77.0,1,0,0.0,0
370,66501,665,0,43,1.0,12.0,108.0,1.0,10,45.0,1,1,78.0,0
371,66502,665,1,38,0.0,9.0,30.0,1.0,20,78.0,1,1,45.0,0
372,66601,666,0,37,1.0,12.0,120.0,1.0,10,58.0,1,0,0.0,2
373,66901,669,0,37,0.0,6.0,148.0,0.0,10,56.0,1,0,0.0,0
374,67001,670,0,31,1.0,12.0,100.0,1.0,10,51.0,1,0,0.0,1
