단위: 천원,,,,,,,,,,,,
,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질,실질
수성구,113704.3733,109372.7633,105943.5847,100398.714,100823.745,106642.915,115139.4177,122283.3744,132429.4769,143318.9716,144782.5816,141959.8189
달서구,117753.417,111245.0293,101274.9797,89733.74953,95349.881,105517.3619,116596.5579,126280.9555,140491.9093,147611.0602,148225.7447,142840.3744
달성군,123985.0308,123613.7782,114929.2432,108226.085,109437.031,114896.9705,126593.8067,136907.7542,146609.9455,150566.4698,147534.6873,142162.1087
광주,102329.8265,102094.048,99594.7314,96852.59202,94669.736,100826.0554,109083.8578,110677.1879,111215.5128,114984.6401,117501.2401,116388.4974
동구,109134.5566,110835.3076,113679.4165,113378.269,111854.4467,109535.494,108523.4955,108614.3063,112909.356,116139.6085,117362.2324,116261.808
서구,83345.61587,87038.31506,92846.05973,97672.13986,99229.61767,100836.6509,101269.9171,102569.3449,109237.6719,113397.8139,116031.7299,115871.9948
남구,93836.24138,99256.76073,105191.7526,106810.6596,108547.159,110097.0515,109965.9095,110410.3475,112554.3589,115014.7697,116796.2724,115998.6841
북구,75998.47978,77403.61185,78208.58244,80618.80877,91790.96733,109238.8221,110370.6156,111282.7103,115810.1892,116280.2134,116647.3356,116943.9813
광산구,98520.657,97711.34467,97441.14505,95583.97687,92637.01767,99120.19215,106116.0131,108439.8337,108852.2465,112895.6537,116826.0598,116164.3547
대전,105319.4408,104906.9072,103239.33,105045.4455,117169.116,127055.6556,122767.8289,125468.1039,128155.0152,128147.5376,128573.8499,127944.3644
동구,120262.2223,122136.3866,125270.4888,124938.6356,123259.44,120704.0404,119588.8557,119688.9258,124421.9108,127981.529,129328.815,128116.1883
중구,100021.5456,104853.6888,103873.868,102979.4239,106719.912,112262.4636,112236.0508,116341.3002,121717.0867,124949.1061,126812.2645,127278.5468
서구,91843.76879,95912.98596,102312.9046,107631.0654,109347.348,111118.2388,111595.6821,113027.6032,120375.8516,124960.1733,127862.6508,127686.6286
유성구,94832.32509,97615.97697,96018.28777,99490.69285,114965.46,126880.5192,118582.562,124167.5061,129708.6126,128557.0253,128727.0312,128266.5342
대덕구,109571.3414,107301.7383,103581.9805,103041.2809,110085.936,122186.8624,123705.5117,123782.9815,127596.1673,129176.7906,129339.7566,128169.8833
울산,114153.5161,123737.1932,121353.9997,118089.1582,121637.57,128651.6721,137183.7473,138496.175,139170.6009,140634.0463,141169.6885,137938.8042
중구,106555.8239,111703.6448,110659.8136,109706.9367,113691.786,119596.4253,119568.287,123941.7271,129668.7067,133111.8698,135096.7459,135593.4899
남구,110159.3008,116522.7337,123490.1329,125390.653,127429.221,129248.7213,129094.7669,129616.516,132133.4838,135021.8895,137113.2892,136176.9583
동구,128118.798,130115.399,133454.2481,133100.7152,131311.82,128589.4795,127401.4412,127508.0488,132550.2335,136342.397,137777.6995,136485.8534
북구,89218.61397,90868.17243,91813.16976,94642.66126,107758.246,128241.2007,129569.8727,130640.6286,135955.6743,136507.4604,136938.4444,137286.6924
울주군,125586.2339,131631.9946,126870.0906,120158.3544,122991.965,130803.5371,136623.3661,138291.3525,138241.8444,138806.5583,139852.5244,137389.6575
세종,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,105372.278,104912.7673,99889.82464,101183.9047,94954.9434
강원,73449.41716,70336.7984,66929.33358,65295.32037,65122.22358,68434.78364,73469.18184,73463.82247,73433.80196,73876.78475,74385.33893,74256.34446
춘천시,70963.21832,67646.69994,63670.24297,61866.66914,63518.26258,69479.48593,73681.78935,73739.80463,73375.35624,72937.97279,73508.04838,74162.75189
원주시,75754.08402,72184.30854,69591.17003,68493.95727,67141.24467,67905.64872,73668.50138,74449.47304,74713.11387,74397.63248,74626.91169,74312.5
강릉시,68058.70666,66757.73063,62903.39813,60342.82414,58980.74133,62587.16434,68041.04641,68483.00159,69784.19136,72320.67178,73692.40654,73694.78904
동해시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,75435.80129,74718.88419,73700.05469,74211.15613,74855.7701,74399.85306
태백시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,78239.56279,77708.69092,76992.497,76410.29099,75796.63243,74643.19374
속초시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,74053.85249,72090.48267,71849.27352,73664.58752,74442.55353,74381.13455
삼척시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,77342.62487,76440.48719,75472.90824,75638.66472,75586.84556,74643.19374
충북,67623.721,66922.31831,65741.64378,65120.0049,66885.8375,72086.55571,76194.52656,77252.87222,77895.43524,79272.88993,79786.55534,79305.81917
청주시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,78321.58788,79285.85952,79206.20543
상당구,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,78841.72425,79407.65039,78980.41429
서원구,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,79608.24101,80266.95268,79451.91932
흥덕구,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,77801.4515,78588.94507,79292.53734
청원구,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,76891.21284,78873.12377,79006.97795
충주시,73739.25751,74203.63767,71313.6346,69618.4263,72052.2125,78021.5666,79779.73537,81134.39894,80763.81196,81319.21593,80483.46979,79378.86925
제천시,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,72573.96066,78455.79582,78821.6099,80203.66029,81051.8272,79697.63322
음성군,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,73705.3875,78155.06492,77612.05345,79875.1531,80239.88804,79319.101
충남,65907.57603,65896.47157,64771.15642,64138.2168,64848.98917,67726.23704,71193.5933,73391.71205,75534.01435,76721.94557,76150.65952,73949.23465
천안시,61303.05287,61516.0483,60396.98156,59987.26495,59969.74292,62233.6579,67121.46618,71963.05281,76434.82599,78733.61928,77595.37062,74366.64545
